,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College of Arts & Sciences,50.0501,001028,THEATRE(M.F.A)-MUSICAL THEATRE,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001094,THEATRE-MUSICAL THEATRE ,10,8,14,18,,50,,,,,,0, 50 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001098,THEATRE PENDING ,13,1,1,1,,16,,,,,,0, 16 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000606,FILM ,,15,13,41,,69,,,,,,0, 69 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000607,ART - ANIMATION ,2,,2,4,,8,,,,,,0, 8 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000608,FILM-GENERAL PROD/SCRN WRITING,,,,2,,2,,,,,,0, 2 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000609,FILM - CINEMA STUDIES ,19,28,31,34,,112,,,,,,0, 112 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0605,001010,PHOTOGRAPHY AS TO BS ,,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0605,001092,PHOTOGRAPHY AS TO BS ,,1,2,4,,7,,,,,,0, 7 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0701,001002,ART ,101,71,99,115,,386,,,,,,0, 386 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0702,001001,"ART, BFA ",,2,25,73,,100,,,,,,0, 100 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0702,001006,ART(BFA) - ANIMATION ,,3,15,22,,40,,,,,,0, 40 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000610,DIGITAL MEDIA ,86,44,47,16,,193,,,,,,0, 193 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000619,DIGITAL MEDIA-GRAPHIC DESIGN ,32,27,27,12,,98,,,,,,0, 98 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000620,DIGITAL MEDIA-COMP ANIMATION ,29,29,14,7,,79,,,,,,0, 79 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000621,DIG MEDIA-COMPUTING FOR MEDIA,3,5,7,7,,22,,,,,,0, 22 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000622,DIG MEDIA-WRITING FOR MEDIA ,2,2,5,7,,16,,,,,,0, 16 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000623,DIGITAL MEDIA-DIGITAL MUSIC ,5,6,2,4,,17,,,,,,0, 17 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000624,DIG MED-INTERNET/INTERACT SYS ,21,32,76,125,,254,,,,,,0, 254 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,UC0610,DIGITAL MEDIA-CERTIFICATE ,,1,,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0903,001004,MUSIC ,6,3,4,13,,26,,,,,,0, 26 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0903,001005,MUSIC PERFORMANCE ,9,6,7,13,,35,,,,,,0, 35 ,,,,,,,,,,,,,,,,,,,
