COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Spain,Universidad del Pais Vasco (Bilbao),Telecommunications Systems 1,Electrical Engineering 379K,Electrical Engineering,University of Texas at Austin,Fall 1998
Spain,Universidad del Pais Vasco (Bilbao),Telematics Lab,Electrical Engineering 160,Electrical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad del Pais Vasco (Bilbao),Theory of Communication,Electrical Engineering 371M,Electrical Engineering,University of Texas at Austin,Fall 1998
Spain,Universidad del Pais Vasco (Bilbao),Transmission of Information,Electrical Engineering 379K,Electrical Engineering,University of Texas at Austin,Fall 1998
United Kingdom,"University of Wales, Swansea","Communications, Electrical Engineering 210",Electrical Engineering 360,Electrical Engineering,University of Texas at Austin,Fall 1999
United Kingdom,"University of Wales, Swansea","Control Systems, Electrical Engineering 208",Electrical Engineering 362K,Electrical Engineering,University of Texas at Austin,Spring 2000
United Kingdom,"University of Wales, Swansea","Dynamic Systems, Electrical Engineering 206",Electrical Engineering 360,Electrical Engineering,University of Texas at Austin,Fall 1999
United Kingdom,"University of Wales, Swansea","Electromagnetics, Electrical Engineering 203",Electrical Engineering 325,Electrical Engineering,University of Texas at Austin,Spring 2000
United Kingdom,"University of Wales, Swansea","Electromatics and Signals, Electrical Engineering 135",n/a,n/a,University of Texas at Austin,Spring 2000
United Kingdom,"University of Wales, Swansea","Electronic Materials and Devices, Electrical Engineering 107",Electrical Engineering 339,Electrical Engineering,University of Texas at Austin,Fall 1999
United Kingdom,"University of Wales, Swansea","Introduction to Electronics, Electrical Engineering 102",Electrical Engineering 338,Electrical Engineering,University of Texas at Austin,Spring 2000
United Kingdom,"University of Wales, Swansea","Modern Physics, Physics 105",Physics 453,Other,University of Texas at Austin,Fall 1999
Singapore,Nanyang Technological Univereity,"Intercultural Communication, CS 361",History 345,Other,New Jersey Institute of Tech,Fall 2001
Singapore,Nanyang Technological Univereity,"Women in Chinese Lit & Soc, LC 107",Literature Elective,Other,New Jersey Institute of Tech,Fall 2001
Denmark,Denmark Technical University ,"Signal Analysis, 4231",Electrical Engineering 333,Electrical Engineering,New Jersey Institute of Tech,Fall 1996
Denmark,Denmark Technical University ,"Microprocessor Technique in Practice, 4055",Electrical Engineering 352,Electrical Engineering,New Jersey Institute of Tech,Fall 1996
Denmark,Denmark Technical University ,"Thermodynamics & Energy, 1530",Mechanical Engineering 435,Mechanical Engineering,New Jersey Institute of Tech,Fall 1996
Denmark,Denmark Technical University ,"Surveying, 5501",Civil Engineering 200,Civil Engineering,New Jersey Institute of Tech,Fall 1996
United Kingdom,"University of Wales, Swansea","Transport Phenomena, Civil Engineering 320",Chemical Engineering 367,Chemical Engineering,New Jersey Institute of Tech,Spring 1999
France,INPG (Institut National Polytechnique de Grenoble),Thermodynamique Applique,Chemical Engineering 232,Chemical Engineering,New Jersey Institute of Tech,Spring 1997
United Kingdom,"University of Wales, Swansea",Introduction to Materials & Engineering MT107,Mechanical Engineering 215,Mechanical Engineering,New Jersey Institute of Tech,Fall 1999
United Kingdom,"University of Wales, Swansea",Calculus I MAC 121,Mathematics 111,Other,New Jersey Institute of Tech,Fall 1999
United Kingdom,"University of Wales, Swansea",Thermodynamics ME 104 or ME 205,Mechanical Engineering 435,Mechanical Engineering,New Jersey Institute of Tech,Spring 2000
United Kingdom,"University of Wales, Swansea",Computer Graphics I CS 217,Computer Science 438,Computer Science,New Jersey Institute of Tech,Spring 2000
United Kingdom,"University of Wales, Swansea",Dynamics ME 203,Mechanical Engineering 236,Mechanical Engineering,New Jersey Institute of Tech,Spring 2000
United Kingdom,"University of Wales, Swansea",Calculus II MAC 122,Mathematics 112,Other,New Jersey Institute of Tech,Spring 2000
United Kingdom,"University of Wales, Swansea",Mechanics ME 102,Mechanical Engineering 234,Mechanical Engineering,New Jersey Institute of Tech,Fall 1999
United Kingdom,"University of Wales, Swansea",Lyric Poetry EN 104,Literature 321,Other,New Jersey Institute of Tech,Fall 1999
Singapore,Nanyang Technological Univereity,Struc Analy & Design M465,Mechanical Engineering 437,Mechanical Engineering,New Jersey Institute of Tech,Spring 2000
Singapore,Nanyang Technological Univereity,Fluids Engineering M403,Mechanical Engineering 454,Mechanical Engineering,New Jersey Institute of Tech,Spring 2000
Germany,Technische Universität Dresden,Datenstrukturen/Datenbanken ,CS 2604 Data Structures and File Management,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Algorithmen-und Datenstrukturen,CS 2604 Data Structures and File Management,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Datenstrukturen/Datenbanken ,CS 2999 Elective,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Betriebssysteme,CS 3204 Operating Systems,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Betriebssysteme,CS 3999 Elective,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Elektronische Bauelemente und Mikroelektronik,ECPE 2204Electronics I,Computer Engineering,Virginia Tech,98-99
