Receptor,X [m],Y [m],Positive Risk Per Million,Neg. Risk Per Million,Net Risk Per Million
281,400,1500,0.0701,0.6586,-0.5885
223,-800,1000,0.2322,0.8227,-0.5905
401,1840,280,0.0268,0.6221,-0.5953
225,800,1000,0.0618,0.6623,-0.6005
12,-784,917,0.2205,0.8235,-0.6030
144,600,0,0.0333,0.6399,-0.6066
135,400,-100,0.0319,0.6406,-0.6087
292,-600,1600,0.1931,0.8153,-0.6222
231,-800,1100,0.2200,0.8494,-0.6294
224,700,1000,0.0650,0.6960,-0.6310
28,-891,0,0.1193,0.7627,-0.6434
54,650,993,0.0663,0.7267,-0.6604
143,500,0,0.0347,0.6953,-0.6606
402,1840,330,0.0276,0.6980,-0.6704
83,-5,1572,0.0819,0.7767,-0.6949
42,425,0,0.0358,0.7415,-0.7057
75,448,1370,0.0924,0.8119,-0.7195
99,300,-300,0.0254,0.7463,-0.7209
41,409,0,0.0361,0.7575,-0.7215
280,300,1500,0.0723,0.7959,-0.7236
11,-729,1000,0.2489,0.9815,-0.7326
403,1840,380,0.0283,0.7665,-0.7382
265,400,1400,0.0901,0.8522,-0.7621
89,-700,-300,0.0499,0.8292,-0.7793
116,300,-200,0.0290,0.8169,-0.7879
404,1840,430,0.0290,0.8225,-0.7935
260,-700,1400,0.1915,0.9967,-0.8052
411,1875,725,0.0344,0.8509,-0.8166
405,1840,480,0.0298,0.8633,-0.8335
410,1850,710,0.0342,0.8738,-0.8396
90,-600,-300,0.0481,0.8903,-0.8423
149,500,100,0.0386,0.8843,-0.8457
29,-791,0,0.0970,0.9491,-0.8521
406,1840,530,0.0307,0.8888,-0.8581
409,1840,660,0.0332,0.8958,-0.8626
408,1840,625,0.0325,0.9009,-0.8684
407,1840,580,0.0316,0.9004,-0.8688
106,-700,-200,0.0573,0.9299,-0.8726
134,300,-100,0.0332,0.9113,-0.8781
43,453,96,0.0393,0.9207,-0.8814
91,-500,-300,0.0462,0.9289,-0.8827
279,200,1500,0.0751,0.9640,-0.8889
76,348,1366,0.1023,0.9996,-0.8973
92,-400,-300,0.0438,0.9612,-0.9174
232,-700,1100,0.3000,1.2620,-0.9620
107,-600,-200,0.0553,1.0200,-0.9647
264,300,1400,0.0974,1.0640,-0.9666
124,-700,-100,0.0686,1.0400,-0.9714
218,1000,900,0.0508,1.0260,-0.9752
40,309,0,0.0377,1.0130,-0.9753
251,-700,1300,0.2310,1.2080,-0.9770
161,900,300,0.0378,1.0180,-0.9802
217,900,900,0.0526,1.0370,-0.9844
216,800,900,0.0545,1.0450,-0.9905
274,-600,1500,0.1955,1.1950,-0.9995
293,-500,1600,0.1888,1.1900,-1.0012
93,-300,-300,0.0408,1.0430,-1.0022
215,700,900,0.0567,1.0600,-1.0033
10,-674,1084,0.3301,1.3360,-1.0059
108,-500,-200,0.0532,1.0910,-1.0378
278,100,1500,0.0794,1.1200,-1.0406
53,623,897,0.0588,1.1050,-1.0462
242,-700,1200,0.2817,1.3350,-1.0533
30,-691,0,0.0877,1.1520,-1.0644
98,200,-300,0.0267,1.0930,-1.0663
80,154,1479,0.0803,1.1470,-1.0667
109,-400,-200,0.0503,1.1350,-1.0847
125,-600,-100,0.0659,1.1690,-1.1032
154,500,200,0.0423,1.1650,-1.1227
44,480,192,0.0424,1.1710,-1.1286
79,155,1459,0.0851,1.2470,-1.1619
110,-300,-200,0.0466,1.2100,-1.1634
77,248,1363,0.1150,1.2850,-1.1700
94,-200,-300,0.0373,1.2150,-1.1778
277,0,1500,0.0855,1.2930,-1.2076
115,200,-200,0.0304,1.2430,-1.2126
126,-500,-100,0.0631,1.2850,-1.2219
4,-342,1584,0.1431,1.3670,-1.2239
263,200,1400,0.1052,1.3580,-1.2528
31,-591,0,0.0819,1.3510,-1.2691
81,54,1474,0.0859,1.3860,-1.3001
127,-400,-100,0.0594,1.3660,-1.3067
111,-200,-200,0.0424,1.4000,-1.3577
97,100,-300,0.0283,1.4060,-1.3777
128,-300,-100,0.0546,1.4440,-1.3894
95,-100,-300,0.0337,1.4260,-1.3923
133,200,-100,0.0349,1.4340,-1.3991
9,-618,1167,0.6414,2.0500,-1.4086
243,-600,1200,1.0580,2.4840,-1.4260
160,600,300,0.0433,1.4700,-1.4267
32,-491,0,0.0768,1.5340,-1.4572
294,-400,1600,0.1671,1.6250,-1.4579
82,-4,1472,0.0898,1.5600,-1.4702
78,158,1359,0.1301,1.6170,-1.4869
96,0,-300,0.0306,1.5290,-1.4984
169,900,400,0.0402,1.5650,-1.5248
261,-600,1400,0.2504,1.8130,-1.5626
39,209,0,0.0396,1.6210,-1.5814
129,-200,-100,0.0491,1.6470,-1.5979
33,-391,0,0.0709,1.6790,-1.6081
45,508,288,0.0451,1.6610,-1.6159
114,100,-200,0.0322,1.6640,-1.6318
112,-100,-200,0.0382,1.6790,-1.6408
168,800,400,0.0420,1.7040,-1.6620
208,1000,800,0.0465,1.7100,-1.6635
34,-291,0,0.0639,1.7910,-1.7271
113,0,-200,0.0347,1.8330,-1.7983
207,900,800,0.0481,1.8850,-1.8369
8,-563,1250,2.0150,3.8650,-1.8500
35,-191,0,0.0566,2.0270,-1.9704
130,-100,-100,0.0440,2.0150,-1.9710
132,100,-100,0.0371,2.0120,-1.9750
206,800,800,0.0500,2.0730,-2.0230
179,1000,500,0.0406,2.0760,-2.0355
167,600,400,0.0461,2.1550,-2.1089
252,-600,1300,0.4427,2.5750,-2.1323
131,0,-100,0.0400,2.2560,-2.2160
46,536,384,0.0472,2.2650,-2.2178
205,700,800,0.0522,2.2710,-2.2188
199,1000,700,0.0440,2.2690,-2.2250
275,-500,1500,0.2033,2.4830,-2.2797
178,900,500,0.0423,2.3710,-2.3287
190,1000,600,0.0423,2.4060,-2.3637
38,109,0,0.0421,2.4360,-2.3939
52,596,801,0.0550,2.4700,-2.4150
